,Unnamed: 0,trans_date_trans_time,cc_num,merchant,category,amt,first,last,gender,street,city,state,zip,lat,long,city_pop,job,dob,trans_num,unix_time,merch_lat,merch_long,is_fraud
301215,301215,2019-05-26 22:11:55,2242542703101233,fraud_Schmitt Ltd,misc_net,769.6,Samuel,Jenkins,M,43235 Mckenzie Views Apt. 837,Westport,KY,40077,38.4921,-85.4524,564,Pensions consultant,1996-04-10,f0f79f07f9cc0202b5305860dc858062,1338070315,38.647171,-85.770699,1
197468,197468,2019-04-12 02:44:37,4393520897625,fraud_Hackett-Lueilwitz,grocery_pos,293.14,Charles,Rodriguez,M,240 Tracy Forges,Easton,KS,66020,39.3391,-95.0999,1442,Air broker,1982-05-20,366350783e90f098a87bc89199953dec,1334198677,38.655753,-94.728272,1
1798068,501393,2020-12-20 08:44:09,4716561796955522,fraud_Barrows PLC,shopping_pos,866.79,Lauren,Anderson,F,11014 Chad Lake Apt. 573,Heart Butte,MT,59448,48.2777,-112.8456,743,Water engineer,1972-05-04,74234f31e8ca08c6e91f2802c1b26c8e,1387529049,48.597303,-113.447021,1
656511,656511,2019-10-06 18:01:13,4260128500325,"fraud_Labadie, Treutel and Bode",shopping_net,935.64,Whitney,Gallagher,F,0374 Courtney Islands Apt. 400,Deane,KY,41812,37.2409,-82.7696,230,"Conservation officer, historic buildings",1997-08-04,7f42fb3f8ffcb71c30f08f05707a39b2,1349546473,37.123709000000005,-83.040093,1
118378,118378,2019-03-08 03:09:36,30501624614310,fraud_DuBuque LLC,grocery_pos,335.18,Amanda,Smith,F,180 Graves Shore,Scotia,SC,29939,32.6786,-81.2455,302,Magazine features editor,1973-05-04,b830404cdab3a17c47ee6595408a3b0d,1331176176,32.846566,-82.14372,1
799088,799088,2019-12-03 23:12:49,5130484058948421,fraud_Abshire PLC,entertainment,565.3,Ronald,White,M,25713 Hamilton Grove Apt. 903,Beaverdam,OH,45808,40.8314,-83.9758,349,Museum/gallery conservator,1978-12-25,e8326853d605ec7c31471d4c05362479,1354576369,41.677507,-84.708877,1
26351,26351,2019-01-15 22:50:43,3511058278399773,fraud_Beier-Hyatt,shopping_pos,752.47,Briana,Santos,F,702 Tabitha Drive,New Goshen,IN,47863,39.5803,-87.4616,205,"Engineer, mining",1960-01-06,c98e9fd706e679f3011b0cad2a6f6ad5,1326667843,39.847293,-87.258574,1
1699910,403235,2020-11-26 22:59:38,5410056176712193,fraud_Pouros-Haag,shopping_pos,868.43,Jeffrey,Krause,M,4742 Alexandria Mountain,New Franken,WI,54229,44.5592,-87.8235,4306,Art therapist,1989-10-19,08e47626b4f1d1c52ebd4612ab2dd025,1385506778,45.443201,-87.620535,1
1395096,98421,2020-07-25 23:06:21,38014427445058,fraud_Volkman Ltd,misc_net,794.73,Sonya,Jensen,F,4470 Jillian Courts,Adams,WI,53910,43.8967,-89.8219,3508,Sport and exercise psychologist,1946-08-11,e57a9eba0628008209895fb0b6cf4ec1,1374793581,43.661381,-90.403337,1
327062,327062,2019-06-05 02:37:49,3593399694467427,fraud_Kiehn Inc,grocery_pos,331.18,Douglas,Smith,M,85932 Marc Throughway Apt. 080,Knowlesville,NY,14479,43.2363,-78.3138,275,TEFL teacher,1964-08-18,027d6ed03e9b012fe0498901a481427d,1338863869,42.64021,-78.102174,1
1206474,1206474,2020-05-19 06:39:48,30143535920989,fraud_Denesik and Sons,shopping_pos,692.59,Lisa,Collins,F,44197 Jeffrey Port Suite 050,Bridgeport,NJ,8014,39.8016,-75.3478,504,"Engineer, control and instrumentation",1980-08-17,a05939cd3c34f443c0b1eaa8dbdd2806,1368945588,40.417364,-74.94330500000001,1
872640,872640,2019-12-20 22:33:50,377993105397617,fraud_Corwin-Gorczany,misc_net,783.61,Nathan,Martinez,M,586 Thomas Cliffs,Oconto Falls,WI,54154,44.8755,-88.1555,5548,Mining engineer,1975-09-11,59f3eade4da211db91de528f1c80afc6,1356042830,44.864052,-89.13051899999999,1
333664,333664,2019-06-07 23:57:35,4670613943676271,fraud_Stoltenberg-Beatty,shopping_pos,942.65,Bianca,Novak,F,0953 David Skyway,Cuthbert,GA,39840,31.7706,-84.7936,5726,Fitness centre manager,1947-08-14,c1e03c31e8f50fc0572e04654c214b7f,1339113455,31.158852000000003,-84.44843900000001,1
771635,771635,2019-11-26 01:25:46,4926376199189801,fraud_Heathcote LLC,shopping_net,986.11,Claire,Davis,F,83685 Matthew Center Suite 870,Cherokee Village,AR,72529,36.3011,-91.5281,4726,Pharmacologist,1977-06-07,d88abe67f8624cbb89e946e0150474be,1353893146,35.775489,-91.826561,1
133002,133002,2019-03-14 13:30:07,60423098130,fraud_Heathcote LLC,shopping_net,1222.17,Jason,Gray,M,875 Amy Point,Amorita,OK,73719,36.9412,-98.2458,83,Barrister's clerk,1958-07-28,c4f32216dd75f10b6e03b05bda946e25,1331731807,36.656069,-97.629604,1
81774,81774,2019-02-18 03:00:56,340953839692349,"fraud_Greenfelder, Bartoletti and Davis",misc_net,785.38,Tyler,Wright,M,615 Clarke Spring Apt. 172,Warren,MI,48088,42.5164,-82.9832,134056,"Doctor, hospital",1980-05-18,180c1ad513326f4fd2ca61702932ecd0,1329534056,43.413459,-82.579555,1
1452340,155665,2020-08-14 23:44:23,2235613922823698,fraud_Homenick LLC,personal_care,21.78,Melissa,Mcclure,F,2027 Snyder Track,Manville,WY,82227,42.73,-104.7024,241,Educational psychologist,1980-12-16,ae1c2777b03e3f8b818c6b1404761ca4,1376523863,43.150023,-105.125811,1
846540,846540,2019-12-14 22:56:45,630471368021,fraud_Kuhic Inc,grocery_pos,272.4,George,Floyd,M,22502 Baker Mount Suite 241,Hazel,KY,42049,36.5422,-88.3319,1480,"Designer, interior/spatial",1974-09-14,34642841f427318184ad46aabbf99b79,1355525805,36.879202,-87.979333,1
417458,417458,2019-07-07 12:44:13,342360239917375,"fraud_Little, Gutmann and Lynch",shopping_net,1171.78,Gabriella,Jordan,F,1299 Joshua Plains,Howes Cave,NY,12092,42.7045,-74.3648,1304,Jewellery designer,1970-06-09,f9d6081d5ede0381b551abc0f62ff0c4,1341665053,43.350567,-73.679314,1
126020,126020,2019-03-11 00:05:29,30143713661454,"fraud_Raynor, Reinger and Hagenes",gas_transport,18.83,Nicholas,Thornton,M,5270 Megan Burg Suite 756,Halma,MN,56729,48.6669,-96.5969,140,"Embryologist, clinical",1942-01-06,f00d30f86fc842509ad68f1e8466c1e5,1331424329,48.113109,-96.834209,1
192253,192253,2019-04-08 23:20:08,180014262259255,"fraud_Rippin, Kub and Mann",misc_net,826.39,Brianna,Page,F,0043 Henry Plaza,Brantley,AL,36009,31.571,-86.2743,2566,Exercise physiologist,1958-06-26,390a142c51dc0895e7c2e8a981d35b9a,1333927208,32.217835,-86.696178,1
150541,150541,2019-03-22 13:03:32,372520049757633,fraud_Koelpin and Sons,misc_net,788.28,Lori,Ramirez,F,4293 Ramirez Squares,Ranier,MN,56668,48.6031,-93.2977,136,Ceramics designer,2000-02-20,0b25addb81f42af904bba46d69883d9c,1332421412,48.944725,-93.083673,1
1047157,1047157,2020-03-10 04:31:44,3546674063249004,"fraud_Casper, Hand and Zulauf",grocery_pos,324.74,Jordan,May,M,1626 Susan Course,Aledo,TX,76008,32.7004,-97.6039,13602,Optometrist,1984-07-05,4dca0549e43b7e265cae7fd8a7e563b4,1362889904,33.607221,-97.996506,1
1308341,11666,2020-06-24 22:03:55,180098888332620,fraud_Durgan-Auer,misc_net,790.54,Dennis,Davidson,M,08469 Trujillo Forge,Springville,NY,14141,42.52,-78.6847,7728,"Scientist, research (maths)",1959-03-30,80275a9dbfd3b1a7a5a11bcaa000afab,1372111435,43.22957,-78.451208,1
713218,713218,2019-10-31 22:36:20,4134456652433447,fraud_Hyatt-Blick,travel,10.29,Lawrence,Ellis,M,1471 Alicia Flat Apt. 993,Springfield Gardens,NY,11413,40.6645,-73.7559,38912,Production manager,1961-11-07,976ffc982ca6017a1fd6b3e2dd87a14b,1351722980,41.649269,-74.347895,1
1624273,327598,2020-10-25 00:36:53,180046617132290,fraud_Ledner-Pfannerstill,gas_transport,10.0,Erika,Mason,F,083 Karen Island Apt. 656,Goreville,IL,62939,37.575,-88.9655,3119,"Teacher, secondary school",1942-04-17,102ac9a6057fe07d6d0a90ea519e16b4,1382661413,38.297067,-89.064806,1
590758,590758,2019-09-07 23:52:10,4260059589824237,"fraud_Romaguera, Cruickshank and Greenholt",shopping_net,889.68,Aaron,Rogers,M,969 Huerta Path Apt. 270,Valentine,NE,69201,42.8062,-100.6215,4005,Network engineer,1945-03-15,e9a68cdf15c4159e419579d5044f5400,1347061930,42.730098,-101.244631,1
904705,904705,2019-12-28 03:59:12,676195318214,"fraud_Lind, Huel and McClure",gas_transport,9.94,Brandy,Quinn,F,9734 Beard Fields Suite 885,Altair,TX,77412,29.6047,-96.5249,106,"Editor, film/video",1983-07-24,7c65e44fe3af8061c8df0f26b519cce2,1356667152,29.37216,-95.896707,1
100640,100640,2019-02-28 01:51:28,30074693890476,fraud_Stamm-Rodriguez,misc_pos,8.3,Kelsey,Richards,F,889 Sarah Station Suite 624,Holcomb,KS,67851,37.9931,-100.9893,2691,Arboriculturist,1993-08-16,6a5d2a5b143b3be68c74e31effcd2764,1330480288,37.564671,-100.488021,1
969812,969812,2020-01-27 03:13:37,3543299015720986,fraud_Bogisich-Homenick,misc_net,739.5,Angela,White,F,137 Adam Dale,Lebanon,VA,24266,36.8809,-82.0956,9521,"Teacher, English as a foreign language",1977-10-19,b55005ab9aedaa2dd717ce3e6b8bf393,1359256417,36.528246,-82.624318,1
491146,491146,2019-08-02 22:42:00,2450829271795901,"fraud_Greenholt, O'Hara and Balistreri",shopping_net,1084.5,Timothy,Kirby,M,7309 Sophia Causeway Suite 702,Sauk Rapids,MN,56379,45.604,-94.1591,16163,Hydrographic surveyor,1987-02-22,0f6e762f9e4fce439e5fcc204ed27424,1343947320,45.963337,-94.279391,1
255473,255473,2019-05-06 23:41:52,4191109180926792,"fraud_Champlin, Rolfson and Connelly",travel,9.38,Jennifer,Spencer,F,477 Wheeler Burg,Amanda,OH,43102,39.6251,-82.7552,4512,Farm manager,1992-10-03,a36cc92bd3e708a67b12aee303ce29ca,1336347712,39.063855,-82.823287,1
144915,144915,2019-03-19 03:55:02,4373370572092720777,"fraud_Reichert, Huels and Hoppe",shopping_net,1017.04,Hailey,Rhodes,F,337 Michael Harbors Suite 722,Michigan,ND,58259,48.0204,-98.1186,454,"Producer, television/film/video",1972-07-29,6335b1d8d58cd9e80f107db1ee3fab98,1332129302,47.574791,-98.340464,1
1572573,275898,2020-10-02 00:09:02,4710826438164847414,fraud_Hackett-Lueilwitz,grocery_pos,321.03,Juan,Henry,M,9795 Lori Island Suite 346,Turner,MT,59542,48.8328,-108.3961,192,Further education lecturer,1964-01-04,cebadad062c85c12769a93575c3df450,1380672542,48.233035,-108.459859,1
71981,71981,2019-02-12 00:38:13,30561214688470,fraud_Lockman Ltd,grocery_pos,286.63,Gina,Morrison,F,41851 Victor Drives Suite 219,Allentown,PA,18103,40.5891,-75.4645,166081,"Scientist, research (maths)",1998-10-01,667fec01fd79fc74123b7932bc398678,1329007093,40.679959,-75.927867,1
921953,921953,2019-12-30 23:59:59,213155997615567,"fraud_Moore, Dibbert and Koepp",misc_net,729.29,James,Yoder,M,83359 Lopez Point,Clune,PA,15727,40.5503,-79.3237,168,Race relations officer,1978-10-04,0e3fd6a1c873eca2904df620ee44ff1b,1356911999,40.127416,-78.579877,1
173281,173281,2019-03-31 23:39:01,4629451965224809,"fraud_Baumbach, Hodkiewicz and Walsh",shopping_pos,623.89,Karen,Warren,F,4900 Curtis Gardens Suite 952,Hahira,GA,31632,30.9416,-83.3574,10295,"Teacher, special educational needs",1997-12-26,3fc4b76f4421cd17d8dc65d84b2489a0,1333237141,30.878934,-83.994025,1
1324458,27783,2020-06-30 12:27:14,571844099986,"fraud_Kuhic, Bins and Pfeffer",shopping_net,1143.96,Susan,Mills,F,005 Cody Estates,Louisville,KY,40202,38.2507,-85.7476,736284,Engineering geologist,1952-04-02,645d25f4ce11bab807386a38ab6b53f3,1372595234,39.219237,-86.65425400000001,1
24321,24321,2019-01-15 02:31:09,3595192916105588,"fraud_Schumm, Bauch and Ondricka",grocery_pos,328.58,Dustin,Roberts,M,3283 James Station,Fayetteville,NC,28314,35.0583,-79.008,238602,"Scientist, research (maths)",1993-05-14,acbc8e2cc4530d8e7a6d3043db72c983,1326594669,35.808195,-79.179802,1
125935,125935,2019-03-10 23:34:18,3567879740649740,"fraud_Rippin, Kub and Mann",misc_net,652.76,Tanya,Williams,F,566 Megan Well,Brownville,NY,13615,44.0577,-76.0196,1271,"Producer, radio",1958-08-14,64b145f9f9881a85dd49ef4939f274e6,1331422458,44.176232,-76.016551,1
292377,292377,2019-05-24 03:16:01,213193596103206,fraud_Cummings LLC,gas_transport,10.15,James,Hunt,M,7369 Gabriel Tunnel,Pointe Aux Pins,MI,49775,45.7549,-84.447,95,Electrical engineer,1994-02-09,36c87b8e542c654dc7269a8e2b99f981,1337829361,45.697423,-85.261284,1
1448203,151528,2020-08-13 02:38:08,374497717543058,"fraud_Heller, Gutmann and Zieme",grocery_pos,319.57,Linda,Hurst,F,31701 Tucker Square Suite 893,Wilton,ND,58579,47.1709,-100.7944,1190,"Designer, ceramics/pottery",1948-06-30,5f6141853c08b06dbf72a52b8c2ced17,1376361488,46.463625,-100.038787,1
140582,140582,2019-03-17 17:21:27,4642255475285942,fraud_Gleason and Sons,kids_pets,67.46,Sabrina,Johnson,F,320 Nicholson Orchard,Thompson,UT,84540,38.9999,-109.615,46,"Surveyor, minerals",1987-04-23,f457666b629198de3359cde0c1da7326,1332004887,39.064692,-109.20243899999998,0
933858,933858,2020-01-06 06:16:46,341546199006537,fraud_Durgan-Auer,misc_net,5.44,Mark,Brown,M,8580 Moore Cove,Wales,AK,99783,64.7556,-165.6723,145,"Administrator, education",1939-11-09,2601b767b799a60050b0096298a58fd2,1357453006,63.79043299999999,-165.758429,0
1075399,1075399,2020-03-22 23:03:49,4502539526809429801,fraud_Renner Ltd,home,72.21,Stephanie,Cummings,F,1025 Robin Square,Ash Flat,AR,72513,36.2201,-91.6421,2856,Hydrologist,1926-08-27,e091207784cdb1315d0f97e31fce2edd,1363993429,36.641771000000006,-91.948231,0
701698,701698,2019-10-26 21:52:16,6011724471098086,fraud_Waters-Cruickshank,health_fitness,23.99,Ann,Lawson,F,144 Evans Islands Apt. 683,Burbank,WA,99323,46.1966,-118.9017,3684,Musician,1981-11-29,b871d0e4045201757691db24da1522fa,1351288336,45.256328,-118.823581,0
1186404,1186404,2020-05-10 22:07:51,30551643947183,"fraud_Hermiston, Russel and Price",food_dining,71.83,Morgan,Smith,F,1441 Bradley Place,Grover,NC,28073,35.1836,-81.4552,5621,Toxicologist,1973-11-14,da9304a6f3369ca65c4cc47a76b1ac26,1368223671,34.280288,-81.59323499999999,0
223242,223242,2019-04-22 19:12:15,4935858973307492,fraud_Volkman PLC,food_dining,61.26,Lance,Wagner,M,6003 Brady Shoal Apt. 449,Irwinton,GA,31042,32.8088,-83.17399999999999,1841,Film/video editor,1975-06-01,1df64d80eb85472ad9d229cdd5e0de1f,1335121935,32.799092,-83.62644,0
885050,885050,2019-12-23 02:14:46,213191402330021,"fraud_Harris, Gusikowski and Heaney",grocery_net,27.4,Thomas,Sullivan,M,464 Newman Crossroad,Milwaukee,WI,53228,42.9676,-88.0434,817312,"Accountant, chartered public finance",2004-03-18,54625e61aabec4bda31fe19f44be167c,1356228886,42.976782,-88.877078,0
272873,272873,2019-05-15 00:13:50,340103199302564,fraud_Balistreri-Nader,misc_pos,8.72,Sophia,Dickson,F,9047 Rodriguez Turnpike,Gibsonville,NC,27249,36.1183,-79.5685,12486,Arboriculturist,1934-02-09,596b41eca74656e78ea8d70c8787b580,1337040830,35.249949,-80.495594,0
1475331,178656,2020-08-23 09:35:08,4957924165498,fraud_Bins-Rice,gas_transport,42.2,Alan,Parsons,M,0547 Russell Ford Suite 574,Kirk,CO,80824,39.6171,-102.4776,207,Network engineer,1955-12-04,7bfd671eb912dbba56743ab8b6e3213d,1377250508,39.14501,-101.791798,0
1293168,1293168,2020-06-20 02:52:08,6011329966782895,fraud_Goodwin-Nitzsche,grocery_pos,216.3,Lauren,Butler,F,030 Seth Divide Suite 355,Tulsa,OK,74131,36.0557,-96.0602,413574,"Teacher, special educational needs",1971-09-01,e1b8d54e65a4f7a942cb5e916957bb4d,1371696728,36.298007,-96.604681,0
1063140,1063140,2020-03-17 03:37:45,4561892980175,fraud_Flatley Group,misc_pos,2.92,Jacqueline,Allen,F,166 Lisa Fords,Greenwood,IN,46143,39.596,-86.1309,78968,Financial adviser,1968-02-10,3acb6d95efc6db19c92eef28ddcbe7d2,1363491465,39.031467,-85.715446,0
1653773,357098,2020-11-06 19:26:16,4792627764422477317,"fraud_Conroy, Balistreri and Gorczany",health_fitness,156.83,Margaret,Mendez,F,7952 Karen Pike,De Soto,KS,66018,38.9462,-94.9714,5760,Chief Executive Officer,1978-10-01,650242a18df95f0263ee370e8fed7904,1383765976,38.988435,-95.587929,0
11192,11192,2019-01-07 16:36:57,3576431665303017,"fraud_Gutmann, McLaughlin and Wiza",home,52.62,Jessica,Ward,F,72269 Elizabeth Field Apt. 132,Phoenix,AZ,85020,33.5623,-112.0559,1312922,Contractor,1981-10-24,153708bda952664e74d100cd124604c3,1325954217,33.406192,-111.624596,0
1703180,406505,2020-11-28 19:21:29,4610064888664703,"fraud_Swaniawski, Nitzsche and Welch",health_fitness,6.12,Tammy,Maldonado,F,3312 Rachel Parks Suite 474,Stittville,NY,13469,43.2229,-75.2899,847,Systems analyst,1996-01-11,8e635136d4a511f495f88398b92f745b,1385666489,44.130612,-74.743884,0
1737146,440471,2020-12-06 20:16:36,340951438290556,fraud_Shields-Wunsch,health_fitness,35.31,Maria,Garcia,F,865 Thomas Village,Orangeburg,NY,10962,41.0442,-73.9609,5950,Records manager,1971-07-02,93ecc2066d10d39992953911df8f5905,1386360996,41.276601,-73.285841,0
324375,324375,2019-06-03 20:14:26,4998109455173950,fraud_Schulist Ltd,food_dining,149.62,Mary,Pruitt,F,2819 Luke Greens Suite 563,Kansas City,MO,64114,38.9621,-94.5959,545147,Counsellor,1987-11-18,e711475d6957d607da0ca6bad03d16be,1338754466,39.748926,-94.650678,0
1655847,359172,2020-11-07 21:32:08,4613314721966,fraud_Romaguera Ltd,health_fitness,76.94,Jason,Murphy,M,542 Steve Curve Suite 011,Collettsville,NC,28611,35.9946,-81.7266,885,Soil scientist,1988-09-15,f2c759c1e8c047cf882a91c6364f6499,1383859928,35.87428,-81.05534399999999,0
1509261,212586,2020-09-04 13:07:22,3586008444788268,fraud_Turner and Sons,shopping_pos,367.17,Crystal,Fuller,F,000 Jennifer Mills,Issaquah,WA,98027,47.4974,-122.0107,50489,Osteopath,1984-02-29,2ddc8252f8c75fefcc0a470063522db8,1378300042,48.218626,-122.7884,0
76546,76546,2019-02-14 21:21:53,371034293500716,"fraud_Lubowitz, Terry and Stracke",personal_care,35.18,Jeremy,Jones,M,5758 Yates Center,Vinton,CA,96135,40.0235,-120.7986,128,Education administrator,1966-02-21,f57fb3eb8ac8cfcbb5d1c26ff1f8c3e0,1329254513,39.099185,-121.194904,0
1125281,1125281,2020-04-13 15:23:42,4996263498048679,"fraud_Effertz, Welch and Schowalter",entertainment,101.22,Kendra,King,F,154 Hernandez Keys,Smith River,CA,95567,41.9404,-124.1587,1930,Web designer,1983-06-13,628101cc6a73886d15720c43f5329c01,1365866622,41.030165,-124.159283,0
556443,556443,2019-08-25 15:51:46,4265776278887457,fraud_Altenwerth-Kilback,home,57.5,Christine,Best,F,68248 Deanna Land,Enola,AR,72047,35.2087,-92.2123,969,"Physicist, medical",1954-01-05,e337def8cbf1509a05f1f38bbc43ed5d,1345909906,34.638884000000004,-91.692967,0
1347560,50885,2020-07-08 13:03:40,378904938837132,fraud_Pouros-Conroy,shopping_pos,8.69,Tina,Zimmerman,F,3595 Susan Island Suite 063,Thomas,OK,73669,35.7382,-98.7388,1675,Barrister,1986-05-01,bd8f5fd95af986c3975bd19cb7b0bc0c,1373288620,36.53397,-99.73511,0
1547946,251271,2020-09-21 07:12:37,3549202406645667,fraud_Stracke-Lemke,grocery_pos,49.9,Larry,Williams,M,6274 David Oval Suite 725,Scarborough,ME,4074,43.5835,-70.3457,18760,Make,1933-04-02,094a51e50e2556a8f290dce376f69f5c,1379747557,43.007643,-70.169462,0
445215,445215,2019-07-17 02:38:52,3592931352252641,fraud_Goldner-Lemke,entertainment,9.61,Dylan,Garcia,M,923 Jordan Road,Afton,MN,55001,44.8696,-92.8234,2916,Barrister's clerk,1935-06-29,5c59a824e090683d2ca77ee698b6fc0c,1342492732,44.504582,-92.22227,0
391563,391563,2019-06-28 14:38:47,2269768987945882,fraud_Crona and Sons,kids_pets,64.16,Shannon,Patterson,F,9808 Ellis Bypass,Mount Morris,NY,14510,42.6835,-77.8664,4895,Acupuncturist,1958-10-29,4052089ee116810defb931a6535eda4c,1340894327,43.520037,-78.604337,0
631010,631010,2019-09-25 13:29:49,6011893664860915,fraud_Watsica LLC,personal_care,48.69,Erin,Chavez,F,3379 Williams Common,Littleton,CO,80120,39.5994,-105.0044,320420,Water engineer,1975-07-31,ca6b4d29a6466369660d2a7dde4e6745,1348579789,39.222695,-104.916417,0
830312,830312,2019-12-10 20:39:11,4725837176265195730,fraud_Hudson-Grady,shopping_pos,9.97,Elizabeth,Mckee,F,358 Pruitt Square,Jay,FL,32565,30.8985,-87.1332,5719,Higher education careers adviser,1994-11-05,bc5505adc5aa2cd700982f204e249199,1355171951,30.688621,-86.625438,0
472292,472292,2019-07-27 08:06:30,4210078554961359092,fraud_Boyer PLC,shopping_net,9.71,Valerie,Clark,F,7402 West Ranch,Lowell,OR,97452,43.92100000000001,-122.7806,1420,Systems analyst,1965-11-11,e0080ab5f864e62f7daf8b126354edea,1343376390,43.683297,-122.882036,0
1559674,262999,2020-09-26 16:34:00,38052002992326,"fraud_Feil, Hilpert and Koss",food_dining,22.79,Anna,Logan,F,3522 Park Wells Suite 528,Cleveland,TX,77327,30.33,-95.0202,34153,Building surveyor,1995-09-11,b9a2697a12b62eaf9a59a4c696c539d4,1380213240,29.976514,-94.47914,0
170842,170842,2019-03-31 06:42:26,346273234529002,"fraud_Stroman, Hudson and Erdman",gas_transport,59.19,Donna,Moreno,F,32301 Albert River Suite 364,Ronceverte,WV,24970,37.7418,-80.4626,4575,Statistician,1991-10-22,7af141fab4e92d4d7aea3124db750dec,1333176146,37.483473,-80.96684499999999,0
885454,885454,2019-12-23 04:22:00,6011542681743618,fraud_Emard Inc,gas_transport,95.75,Emily,Hall,F,8851 Reese Neck,Basye,VA,22810,38.8089,-78.7776,863,"Engineer, mining",1972-08-09,54cdf2e66d815ef0b17fc4f9860b2095,1356236520,39.150754,-78.97853,0
12487,12487,2019-01-08 04:56:50,630451534402,"fraud_Tromp, Kerluke and Glover",grocery_net,49.62,Rachel,Daniels,F,561 Little Plain Apt. 738,Wetmore,MI,49895,46.3535,-86.6345,765,Immunologist,1972-06-12,ea496429ebb44858bd7aa70986f0735e,1325998610,45.509998,-85.690042,0
1510945,214270,2020-09-05 09:19:12,180067151859700,fraud_Torp-Lemke,misc_pos,233.5,Karen,Ryan,F,82468 Michelle Village Suite 556,Joliet,IL,60432,41.5378,-88.0572,128354,"Teacher, secondary school",1992-01-20,924f93e4ffa797206407e89b1ebf5474,1378372752,40.985905,-88.790672,0
659907,659907,2019-10-07 19:35:21,2254917871818484,fraud_Wiza LLC,misc_pos,4.66,Margaret,Gibson,F,382 Williams Stream Suite 197,Scotland,MD,20687,38.0828,-76.3477,313,Insurance underwriter,1976-03-26,98bb89c3c7bacef52848000e3a23dbfc,1349638521,38.591597,-76.858977,0
241631,241631,2019-05-01 04:09:47,4509922033272157,fraud_Nader-Heller,misc_net,9.06,Monica,West,F,22084 Smith Roads Suite 776,Hurley,SD,57036,43.2893,-97.1904,811,Neurosurgeon,1972-03-28,f03a23be0e25617624431a8c05e33ec7,1335845387,42.971699,-96.324813,0
